date,market_id,metric_name,primary_value,comparison_value,volume,defect_rate_pct,automation_minutes_saved,quality_score,priority_score
2026-02-02,MKT-DC,vehicle_exterior_roi,0.155,0.268,152,0.59,56,89,66
2026-02-02,MKT-DC,in_vehicle_roi,0.183,-0.05,90,1.09,28,84,63
2026-02-02,MKT-DC,welcome_drip_roi,2.493,2.213,16,1.27,21,89,59
2026-02-02,MKT-DC,winback_drip_roi,0.614,0.81,8,1.28,14,97,88
2026-02-02,MKT-BAL,paid_search_roi,0.015,-0.147,141,1.6,25,85,92
2026-02-02,MKT-BAL,paid_social_roi,0.483,0.542,275,1.58,30,88,43
2026-02-02,MKT-BAL,organic_social_roi,-0.003,-0.256,10,1.8,45,92,86
2026-02-02,MKT-BAL,driver_referral_roi,0.075,0.084,13,1.68,79,93,40
2026-02-02,MKT-BAL,rider_referral_roi,0.427,0.233,36,1.77,21,89,65
2026-02-02,MKT-BAL,vehicle_exterior_roi,2.697,2.674,133,1.53,60,85,43
2026-02-02,MKT-BAL,in_vehicle_roi,1.078,1.061,49,1.5,77,95,72
2026-02-02,MKT-BAL,welcome_drip_roi,4.195,4.064,13,1.05,64,89,89
2026-02-02,MKT-BAL,winback_drip_roi,0.324,0.432,7,0.96,66,84,77
2026-02-02,MKT-NYC,paid_search_roi,0.351,0.28,124,1.99,78,88,72
2026-02-02,MKT-NYC,paid_social_roi,1.205,0.932,171,2.9,77,90,86
2026-02-02,MKT-NYC,organic_social_roi,0.074,0.266,3,2.18,24,95,68
2026-02-02,MKT-NYC,driver_referral_roi,1.756,1.502,36,1.96,74,91,64
2026-02-02,MKT-NYC,rider_referral_roi,0.548,0.713,11,2.0,26,84,43
2026-02-02,MKT-NYC,vehicle_exterior_roi,2.156,2.113,169,2.35,22,88,62
2026-02-02,MKT-NYC,in_vehicle_roi,2.896,2.946,144,2.17,27,97,39
2026-02-02,MKT-NYC,welcome_drip_roi,0.006,-0.075,2,2.48,50,85,61
2026-02-02,MKT-NYC,winback_drip_roi,2.474,2.524,15,2.02,72,88,44
2026-02-02,MKT-MIA,paid_search_roi,0.367,0.458,407,3.26,79,82,73
2026-02-02,MKT-MIA,paid_social_roi,0.066,0.263,300,3.7,80,94,39
2026-02-02,MKT-MIA,organic_social_roi,0.272,0.397,9,3.14,49,84,91
2026-02-02,MKT-MIA,driver_referral_roi,0.11,0.019,16,3.25,35,98,42
2026-02-02,MKT-MIA,rider_referral_roi,0.218,0.229,45,3.43,8,88,54
2026-02-02,MKT-MIA,vehicle_exterior_roi,1.246,1.384,186,3.37,37,98,70
2026-02-02,MKT-MIA,in_vehicle_roi,0.852,1.015,194,3.15,62,94,80
2026-02-02,MKT-MIA,welcome_drip_roi,0.707,0.576,9,3.2,63,85,50
2026-02-02,MKT-MIA,winback_drip_roi,0.472,0.591,10,3.34,22,98,67
2026-02-02,MKT-HOU,paid_search_roi,0.727,0.857,184,3.61,27,84,46
2026-02-02,MKT-HOU,paid_social_roi,0.964,0.856,418,4.4,49,92,44
2026-02-02,MKT-HOU,organic_social_roi,-0.806,-0.755,3,3.87,15,93,88
2026-02-02,MKT-HOU,driver_referral_roi,1.029,0.963,57,4.21,13,96,93
2026-02-02,MKT-HOU,rider_referral_roi,-0.241,-0.206,20,4.13,72,87,37
2026-02-02,MKT-HOU,vehicle_exterior_roi,2.331,2.345,271,4.19,14,92,39
2026-02-02,MKT-HOU,in_vehicle_roi,0.608,0.389,74,3.75,26,93,54
2026-02-02,MKT-HOU,welcome_drip_roi,-0.16,-0.022,6,4.12,75,84,76
2026-02-02,MKT-HOU,winback_drip_roi,-0.653,-0.545,2,4.42,27,84,53
2026-02-02,MKT-DFW,paid_search_roi,0.577,0.356,380,4.28,56,86,45
2026-02-02,MKT-DFW,paid_social_roi,1.115,0.99,274,3.9,64,91,83
2026-02-02,MKT-DFW,organic_social_roi,-0.487,-0.612,5,4.24,64,96,84
2026-02-02,MKT-DFW,driver_referral_roi,0.304,0.085,43,3.72,69,93,70
2026-02-02,MKT-DFW,rider_referral_roi,-0.145,-0.192,19,4.5,19,89,87
2026-02-02,MKT-DFW,vehicle_exterior_roi,1.322,1.482,305,3.89,48,85,88
2026-02-02,MKT-DFW,in_vehicle_roi,1.195,1.329,156,4.37,65,82,92
2026-02-02,MKT-DFW,welcome_drip_roi,-1.0,-1.173,1,3.9,23,83,50
2026-02-02,MKT-DFW,winback_drip_roi,0.309,0.206,8,4.24,26,91,62
2026-02-02,MKT-ATL,paid_search_roi,-0.352,-0.184,52,4.44,72,98,70
2026-02-02,MKT-ATL,paid_social_roi,-0.077,-0.255,105,4.26,21,92,43
2026-02-02,MKT-ATL,organic_social_roi,-0.524,-0.554,2,4.1,25,84,80
2026-02-02,MKT-ATL,driver_referral_roi,-0.406,-0.397,27,4.73,68,90,37
2026-02-02,MKT-ATL,rider_referral_roi,0.136,0.126,28,4.32,64,94,56
2026-02-02,MKT-ATL,vehicle_exterior_roi,1.071,1.233,127,4.52,31,91,55
2026-02-02,MKT-ATL,in_vehicle_roi,0.057,0.088,38,3.96,53,95,52
2026-02-02,MKT-ATL,welcome_drip_roi,-0.252,-0.12,3,4.52,64,83,43
2026-02-02,MKT-ATL,winback_drip_roi,-0.389,-0.405,3,4.29,64,84,71
2026-02-02,MKT-GSO,paid_search_roi,-0.432,-0.472,41,2.89,79,85,51
2026-02-02,MKT-GSO,paid_social_roi,0.007,0.148,128,3.35,65,87,92
2026-02-02,MKT-GSO,organic_social_roi,0.796,0.732,9,2.79,46,87,80
2026-02-02,MKT-GSO,driver_referral_roi,-0.218,-0.031,11,3.05,55,96,86
2026-02-02,MKT-GSO,rider_referral_roi,-0.539,-0.708,5,3.32,17,86,55
2026-02-02,MKT-GSO,vehicle_exterior_roi,-0.343,-0.426,47,3.27,24,95,67
2026-02-02,MKT-GSO,in_vehicle_roi,0.241,-0.013,21,3.02,44,84,51
2026-02-02,MKT-GSO,welcome_drip_roi,-1.0,-0.881,1,3.44,27,87,77
2026-02-02,MKT-GSO,winback_drip_roi,-0.322,-0.399,3,3.15,61,82,66
2026-02-03,MKT-DC,paid_search_roi,1.202,1.184,318,1.11,28,96,61
2026-02-03,MKT-DC,paid_social_roi,0.619,0.654,233,0.82,55,98,70
2026-02-03,MKT-DC,organic_social_roi,-0.586,-0.57,4,1.03,39,87,87
2026-02-03,MKT-DC,driver_referral_roi,3.416,3.194,82,0.91,19,94,67
2026-02-03,MKT-DC,rider_referral_roi,0.908,0.794,54,0.89,76,82,89
2026-02-03,MKT-DC,vehicle_exterior_roi,2.961,2.887,223,0.61,78,91,39
2026-02-03,MKT-DC,in_vehicle_roi,2.693,2.425,183,0.81,51,93,83
2026-02-03,MKT-DC,welcome_drip_roi,-0.391,-0.418,4,0.87,73,86,55
2026-02-03,MKT-DC,winback_drip_roi,1.748,1.692,11,1.13,46,97,87
2026-02-03,MKT-BAL,paid_search_roi,1.865,1.735,132,0.86,68,90,76
2026-02-03,MKT-BAL,paid_social_roi,1.026,0.88,421,1.61,56,86,87
2026-02-03,MKT-BAL,organic_social_roi,-0.089,-0.087,9,1.04,72,97,90
2026-02-03,MKT-BAL,driver_referral_roi,1.967,1.708,36,1.29,76,92,69
2026-02-03,MKT-BAL,rider_referral_roi,2.626,2.366,111,1.11,46,89,95
2026-02-03,MKT-BAL,vehicle_exterior_roi,2.585,2.336,258,1.55,44,85,71
2026-02-03,MKT-BAL,in_vehicle_roi,2.268,2.448,216,1.79,18,93,94
2026-02-03,MKT-BAL,welcome_drip_roi,1.53,1.599,15,0.94,38,89,38
2026-02-03,MKT-BAL,winback_drip_roi,-0.624,-0.49,3,1.8,28,95,76
2026-02-03,MKT-NYC,paid_search_roi,0.659,0.817,137,2.49,76,83,93
2026-02-03,MKT-NYC,paid_social_roi,3.092,3.202,217,2.67,45,83,35
2026-02-03,MKT-NYC,organic_social_roi,-0.154,-0.191,3,2.86,72,96,52
2026-02-03,MKT-NYC,driver_referral_roi,1.804,1.842,39,2.21,32,87,74
2026-02-03,MKT-NYC,rider_referral_roi,0.739,0.783,53,2.16,41,94,50
2026-02-03,MKT-NYC,vehicle_exterior_roi,2.389,2.257,297,1.98,23,96,54
2026-02-03,MKT-NYC,in_vehicle_roi,1.545,1.305,79,2.21,36,89,43
2026-02-03,MKT-NYC,welcome_drip_roi,1.716,1.658,10,2.58,35,89,78
2026-02-03,MKT-NYC,winback_drip_roi,0.305,0.072,3,2.12,76,86,45
2026-02-03,MKT-MIA,paid_search_roi,1.299,1.285,290,2.89,24,98,61
2026-02-03,MKT-MIA,paid_social_roi,0.318,0.516,366,3.05,17,83,62
2026-02-03,MKT-MIA,organic_social_roi,0.311,0.373,9,3.01,25,95,58
2026-02-03,MKT-MIA,driver_referral_roi,2.434,2.57,80,3.69,23,87,69
2026-02-03,MKT-MIA,rider_referral_roi,0.145,0.022,61,3.38,76,94,87
2026-02-03,MKT-MIA,vehicle_exterior_roi,0.123,-0.066,96,3.25,10,89,48
2026-02-03,MKT-MIA,in_vehicle_roi,-0.552,-0.545,20,3.07,35,83,43
2026-02-03,MKT-MIA,welcome_drip_roi,1.496,1.303,16,3.07,26,98,49
2026-02-03,MKT-MIA,winback_drip_roi,0.012,0.007,5,3.33,52,94,85
2026-02-03,MKT-HOU,paid_search_roi,-0.229,-0.437,128,3.72,26,96,93
2026-02-03,MKT-HOU,paid_social_roi,0.672,0.562,196,4.34,55,84,69
2026-02-03,MKT-HOU,organic_social_roi,-1.0,-1.082,2,4.09,35,97,48
2026-02-03,MKT-HOU,driver_referral_roi,0.968,0.806,49,4.33,34,94,93
2026-02-03,MKT-HOU,rider_referral_roi,0.726,0.68,54,3.91,20,97,83
2026-02-03,MKT-HOU,vehicle_exterior_roi,-0.189,0.004,109,3.97,61,91,44
2026-02-03,MKT-HOU,in_vehicle_roi,0.728,0.804,67,4.24,70,96,45
2026-02-03,MKT-HOU,welcome_drip_roi,1.001,1.172,10,3.45,17,83,83
2026-02-03,MKT-HOU,winback_drip_roi,-0.105,-0.085,3,4.03,69,97,36
2026-02-03,MKT-DFW,paid_search_roi,-0.316,-0.357,52,4.36,63,87,41
2026-02-03,MKT-DFW,paid_social_roi,-0.173,-0.01,83,4.63,66,89,79
2026-02-03,MKT-DFW,organic_social_roi,-0.317,-0.312,5,4.04,68,83,75
2026-02-03,MKT-DFW,driver_referral_roi,-0.089,-0.357,11,4.56,13,89,48
2026-02-03,MKT-DFW,rider_referral_roi,0.917,1.031,74,4.52,10,88,72
2026-02-03,MKT-DFW,vehicle_exterior_roi,0.265,0.064,121,4.06,77,92,59
2026-02-03,MKT-DFW,in_vehicle_roi,1.675,1.828,230,3.9,17,92,73
2026-02-03,MKT-DFW,welcome_drip_roi,0.617,0.552,11,4.04,31,94,40
2026-02-03,MKT-DFW,winback_drip_roi,0.252,0.097,6,3.98,21,84,35
2026-02-03,MKT-ATL,paid_search_roi,-0.17,-0.216,118,4.02,19,93,70
2026-02-03,MKT-ATL,paid_social_roi,0.887,0.739,179,4.48,39,98,45
2026-02-03,MKT-ATL,organic_social_roi,-0.858,-0.86,4,4.4,17,93,51
2026-02-03,MKT-ATL,driver_referral_roi,0.187,0.197,45,4.76,56,92,63
2026-02-03,MKT-ATL,rider_referral_roi,0.8,0.667,64,4.4,30,94,55
2026-02-03,MKT-ATL,vehicle_exterior_roi,1.17,0.992,240,4.28,80,88,72
2026-02-03,MKT-ATL,in_vehicle_roi,0.24,0.057,83,4.75,16,95,78
2026-02-03,MKT-ATL,welcome_drip_roi,-0.515,-0.53,4,4.51,59,98,94
2026-02-03,MKT-ATL,winback_drip_roi,1.033,1.192,11,4.69,53,87,76
2026-02-03,MKT-GSO,paid_search_roi,0.125,0.119,102,2.51,41,89,67
2026-02-03,MKT-GSO,paid_social_roi,0.085,0.003,159,3.0,52,82,65
2026-02-03,MKT-GSO,organic_social_roi,-1.0,-0.965,1,3.28,74,97,57
2026-02-03,MKT-GSO,driver_referral_roi,-0.43,-0.241,18,2.84,21,87,94
2026-02-03,MKT-GSO,rider_referral_roi,-0.027,-0.129,14,2.69,63,94,36
2026-02-03,MKT-GSO,vehicle_exterior_roi,-0.325,-0.486,64,3.31,16,85,86
2026-02-03,MKT-GSO,in_vehicle_roi,-0.315,-0.422,25,3.1,58,85,57
2026-02-03,MKT-GSO,welcome_drip_roi,0.72,0.879,6,2.63,23,89,54
2026-02-03,MKT-GSO,winback_drip_roi,-1.0,-0.889,1,3.14,30,87,66
2026-02-04,MKT-DC,paid_search_roi,-0.338,-0.204,90,1.23,79,98,76
2026-02-04,MKT-DC,paid_social_roi,0.944,0.762,355,0.64,12,90,49
2026-02-04,MKT-DC,organic_social_roi,0.993,0.918,16,0.68,77,93,69
2026-02-04,MKT-DC,driver_referral_roi,1.873,1.954,25,1.29,12,96,51
2026-02-04,MKT-DC,rider_referral_roi,0.716,0.562,42,1.11,62,87,74
2026-02-04,MKT-DC,vehicle_exterior_roi,4.7,4.819,291,1.4,45,91,71
2026-02-04,MKT-DC,in_vehicle_roi,3.811,3.813,216,0.48,43,86,79
2026-02-04,MKT-DC,welcome_drip_roi,2.336,2.259,9,0.69,61,94,63
2026-02-04,MKT-DC,winback_drip_roi,1.056,1.079,5,1.37,49,82,90
2026-02-04,MKT-BAL,paid_search_roi,0.621,0.439,244,1.23,62,88,66
2026-02-04,MKT-BAL,paid_social_roi,0.357,0.128,113,1.6,13,85,75
2026-02-04,MKT-BAL,organic_social_roi,-0.05,-0.328,6,1.74,46,87,90
2026-02-04,MKT-BAL,driver_referral_roi,-0.17,-0.27,20,1.56,37,95,76
2026-02-04,MKT-BAL,rider_referral_roi,-0.45,-0.255,9,1.53,23,95,79
2026-02-04,MKT-BAL,vehicle_exterior_roi,-0.236,-0.179,56,1.22,25,86,39
2026-02-04,MKT-BAL,in_vehicle_roi,0.916,0.675,120,1.45,64,88,40
2026-02-04,MKT-BAL,welcome_drip_roi,-1.0,-0.919,1,1.48,39,91,84
2026-02-04,MKT-BAL,winback_drip_roi,1.262,1.32,4,0.89,38,97,59
2026-02-04,MKT-NYC,paid_search_roi,-0.002,0.046,79,2.3,80,95,58
2026-02-04,MKT-NYC,paid_social_roi,1.937,2.011,568,1.96,15,94,67
2026-02-04,MKT-NYC,organic_social_roi,-0.156,-0.252,6,2.19,47,84,67
2026-02-04,MKT-NYC,driver_referral_roi,1.192,1.083,24,2.23,63,89,38
2026-02-04,MKT-NYC,rider_referral_roi,0.315,0.159,22,2.04,25,82,45
2026-02-04,MKT-NYC,vehicle_exterior_roi,2.104,1.929,310,2.19,23,82,56
2026-02-04,MKT-NYC,in_vehicle_roi,1.818,1.773,147,1.97,80,87,58
2026-02-04,MKT-NYC,welcome_drip_roi,-0.182,-0.003,2,2.78,39,83,65
2026-02-04,MKT-NYC,winback_drip_roi,0.383,0.228,4,2.34,49,89,61
2026-02-04,MKT-MIA,paid_search_roi,0.475,0.568,363,3.35,13,94,39
2026-02-04,MKT-MIA,paid_social_roi,1.126,1.186,427,3.62,39,96,58
2026-02-04,MKT-MIA,organic_social_roi,2.743,2.87,36,3.77,11,89,69
2026-02-04,MKT-MIA,driver_referral_roi,1.058,0.904,59,3.14,34,98,50
2026-02-04,MKT-MIA,rider_referral_roi,-0.068,-0.299,41,3.35,55,96,82
2026-02-04,MKT-MIA,vehicle_exterior_roi,0.854,0.736,126,2.96,45,90,89
2026-02-04,MKT-MIA,in_vehicle_roi,1.447,1.195,150,2.97,21,86,41
2026-02-04,MKT-MIA,welcome_drip_roi,-0.078,-0.101,3,3.69,19,87,86
2026-02-04,MKT-MIA,winback_drip_roi,0.676,0.757,11,3.19,73,83,78
2026-02-04,MKT-HOU,paid_search_roi,0.168,0.248,149,3.88,25,85,35
2026-02-04,MKT-HOU,paid_social_roi,1.452,1.343,229,4.0,41,84,36
2026-02-04,MKT-HOU,organic_social_roi,-0.135,0.006,3,4.36,14,87,94
2026-02-04,MKT-HOU,driver_referral_roi,0.021,0.132,51,3.7,27,83,74
2026-02-04,MKT-HOU,rider_referral_roi,0.596,0.595,57,4.06,75,89,75
2026-02-04,MKT-HOU,vehicle_exterior_roi,-0.338,-0.303,103,3.98,49,94,52
2026-02-04,MKT-HOU,in_vehicle_roi,-0.117,-0.143,40,3.77,37,87,41
2026-02-04,MKT-HOU,welcome_drip_roi,0.374,0.468,8,4.26,57,93,94
2026-02-04,MKT-HOU,winback_drip_roi,0.307,0.171,5,4.36,80,86,71
2026-02-04,MKT-DFW,paid_search_roi,0.743,0.916,280,4.27,10,98,65
2026-02-04,MKT-DFW,paid_social_roi,0.252,0.035,106,3.73,26,86,84
2026-02-04,MKT-DFW,organic_social_roi,1.343,1.494,10,3.97,25,87,81
2026-02-04,MKT-DFW,driver_referral_roi,3.002,2.756,108,4.45,36,87,59
2026-02-04,MKT-DFW,rider_referral_roi,-0.085,-0.293,25,4.44,80,83,46
2026-02-04,MKT-DFW,vehicle_exterior_roi,0.455,0.496,257,3.74,52,92,45
2026-02-04,MKT-DFW,in_vehicle_roi,0.348,0.421,93,3.92,16,93,51
2026-02-04,MKT-DFW,welcome_drip_roi,-1.0,-1.223,1,4.02,56,85,88
2026-02-04,MKT-DFW,winback_drip_roi,0.94,1.124,12,3.69,41,85,39
2026-02-04,MKT-ATL,paid_search_roi,-0.246,-0.332,104,4.53,69,82,62
2026-02-04,MKT-ATL,paid_social_roi,-0.332,-0.467,209,4.64,77,90,77
2026-02-04,MKT-ATL,organic_social_roi,-1.0,-0.802,1,4.0,69,88,41
2026-02-04,MKT-ATL,driver_referral_roi,0.258,0.232,19,4.81,41,84,76
2026-02-04,MKT-ATL,rider_referral_roi,0.134,0.225,47,4.19,15,86,83
2026-02-04,MKT-ATL,vehicle_exterior_roi,-0.164,-0.23,98,4.76,74,95,69
2026-02-04,MKT-ATL,in_vehicle_roi,1.024,0.881,199,4.42,74,86,42
2026-02-04,MKT-ATL,welcome_drip_roi,0.852,0.577,16,4.35,26,90,55
2026-02-04,MKT-ATL,winback_drip_roi,-0.205,-0.011,2,4.62,74,95,42
2026-02-04,MKT-GSO,paid_search_roi,-0.515,-0.689,69,3.29,76,93,91
2026-02-04,MKT-GSO,paid_social_roi,-0.276,-0.373,94,3.18,59,83,60
2026-02-04,MKT-GSO,organic_social_roi,-1.0,-1.181,1,2.81,70,85,90
2026-02-04,MKT-GSO,driver_referral_roi,0.071,-0.039,18,2.69,35,95,82
2026-02-04,MKT-GSO,rider_referral_roi,0.635,0.591,54,2.64,75,82,46
2026-02-04,MKT-GSO,vehicle_exterior_roi,-0.675,-0.571,22,2.87,67,98,60
2026-02-04,MKT-GSO,in_vehicle_roi,0.826,0.798,77,3.05,52,87,88
2026-02-04,MKT-GSO,welcome_drip_roi,-0.337,-0.6,3,3.36,36,88,52
2026-02-04,MKT-GSO,winback_drip_roi,0.487,0.604,6,3.3,36,90,73
2026-02-05,MKT-DC,paid_search_roi,3.978,3.958,695,0.63,46,98,87
2026-02-05,MKT-DC,paid_social_roi,0.238,0.128,191,1.03,46,85,65
2026-02-05,MKT-DC,organic_social_roi,-0.414,-0.527,2,0.61,74,89,92
2026-02-05,MKT-DC,driver_referral_roi,5.501,5.387,59,1.41,41,95,60
2026-02-05,MKT-DC,rider_referral_roi,3.788,3.659,135,1.05,68,93,67
2026-02-05,MKT-DC,vehicle_exterior_roi,2.575,2.651,381,1.23,31,92,76
2026-02-05,MKT-DC,in_vehicle_roi,0.911,0.83,45,0.88,23,97,38
2026-02-05,MKT-DC,welcome_drip_roi,1.491,1.436,18,0.83,27,86,47
2026-02-05,MKT-DC,winback_drip_roi,1.519,1.345,11,0.9,30,92,75
2026-02-05,MKT-BAL,paid_search_roi,-0.24,-0.407,43,0.92,63,95,60
2026-02-05,MKT-BAL,paid_social_roi,0.106,0.152,199,1.67,32,82,78
2026-02-05,MKT-BAL,organic_social_roi,-1.0,-1.083,2,1.0,13,91,95
2026-02-05,MKT-BAL,driver_referral_roi,1.141,0.863,48,1.32,32,87,95
2026-02-05,MKT-BAL,rider_referral_roi,-0.346,-0.205,26,1.54,12,94,91
2026-02-05,MKT-BAL,vehicle_exterior_roi,0.679,0.869,164,1.52,61,96,59
2026-02-05,MKT-BAL,in_vehicle_roi,0.928,0.81,57,1.5,42,86,61
2026-02-05,MKT-BAL,welcome_drip_roi,0.497,0.323,5,1.66,33,93,80
2026-02-05,MKT-BAL,winback_drip_roi,-0.608,-0.409,2,1.5,22,97,44
2026-02-05,MKT-NYC,paid_search_roi,0.379,0.11,68,2.18,14,85,87
2026-02-05,MKT-NYC,paid_social_roi,2.4,2.192,278,2.81,9,86,77
2026-02-05,MKT-NYC,organic_social_roi,-0.329,-0.52,5,2.1,59,94,64
2026-02-05,MKT-NYC,driver_referral_roi,3.39,3.526,63,2.64,28,85,61
